geo\time,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AT,10.2,10.7,10.8,11.5,11.4,11.5,11.1,10.8,10.7,9.8,10.4,10.1,9.7,9.7,9.2,9.3,9.4,9.6,9.2
BE,15.1,14.8,14.7,14.7,14.7,14.3,13.9,13.5,13.5,12.1,12.7,11.6,11.3,11.2,10.6,11,10.8,10.8,10.8
BG,7.3,7.9,7.7,8.4,8.3,8.4,8.6,9.2,9,7.9,8.3,9.1,8.4,7.7,8.2,8.7,8.4,8.8,8.3
CH,8.1,8.2,7.9,7.9,7.9,7.9,7.9,7.6,7.7,7.4,7.6,7,7.1,7.1,6.6,6.5,6.4,6.3,6.1
CY,13.4,13.4,13.5,14,14,13.8,13.9,14,13.9,13.2,12.5,11.8,11,10.1,10.6,10.7,11.4,11.6,11.3
CZ,14.7,14.8,14.5,14.8,14.9,14.7,14.8,14.9,14.3,13.3,13.5,13.4,12.9,12.4,12.2,12.3,12.5,12.4,12.2
DE,12.9,13.1,12.8,12.8,12.6,12.3,12.4,12.1,12.2,11.4,11.8,11.7,11.8,12,11.4,11.4,11.4,11.2,10.7
DK,13.8,14,13.8,14.7,13.6,12.8,14.2,13.3,12.5,11.9,11.9,10.9,10.1,10.3,9.6,9,9.3,8.9,8.9
EE,12.4,12.7,12.4,13.9,14.2,14.1,13.7,16.6,15,12.5,15.9,16,15.2,16.7,16.1,13.9,15,16,15.3
